full_url,name,stars,price,address,lat,lon,features,rating_text,rating,mark,local,dist_local,dist_baikal,dist_aeroport,dist_railway,dist_beach,meal_type,dist_baikal_meters,url,number_reviews
https://101hotels.com/main/cities/leestvyanka/guesthouse_in_listvyanka.html,Гостевой дом В Листвянке,,2800.0,"Листвянка, ул. Чапаева, д. 57",45.471591,37.738809,['АВТОСТОЯНКА'],ХОРОШО,8.7,3.0,Листвянка,4809.0 км,4890.0 км,60.6 км,41.5 км,,,4890000.0,guesthouse_in_listvyanka.html,0
https://101hotels.com/main/cities/leestvyanka/baykal_1.html,Байкал,,2250.0,"Листвянка, 12 Горная улица",51.85717,104.85936,[],,,,Листвянка,1.0 км,,57.7 км,3.7 км,,,,baykal_1.html,0
https://101hotels.com/main/cities/leestvyanka/gostevoy_dom_dom_na_baykale.html,Гостевой дом Дом на Байкале,,2750.0,"Листвянка, Улица Чапаева, 73",51.85921,104.87638,['АВТОСТОЯНКА'],ОЧЕНЬ ХОРОШО,9.1,7.0,Листвянка,300 м,,58.2 км,4.8 км,,,,gostevoy_dom_dom_na_baykale.html,0
https://101hotels.com/main/cities/leestvyanka/gostevoy_dom_sssr_1.html,Гостевой дом СССР,,4000.0,"Листвянка, 6 улица Шторкмана",51.84534,104.8774,[],,,,Листвянка,1.4 км,,59.5 км,5.4 км,,,,gostevoy_dom_sssr_1.html,0
https://101hotels.com/main/cities/ust-barguzin/baigal-dalai_guest_house.html,Baigal-Dalai Guest House,,1200.0,"Усть-Баргузин, ул. Байкальская, 5",53.41626,109.01022,"['ОХОТА/УСЛУГИ ЕГЕРЯ', 'РЫБАЛКА', 'АВТОСТОЯНКА']",ХОРОШО,8.1,4.0,Усть-Баргузин,1.6 км,,,,,,,baigal-dalai_guest_house.html,0
https://101hotels.com/main/cities/ust-barguzin/letnie_gostevie_komnati.html,Летние Гостевые комнаты,,2100.0,"Усть-Баргузин, Байкальская улица 9Б",53.41715,109.00983,"['ОХОТА/УСЛУГИ ЕГЕРЯ', 'РЫБАЛКА', 'ДЕТСКАЯ ПЛОЩАДКА', 'АВТОСТОЯНКА']",ОЧЕНЬ ХОРОШО,9.1,16.0,Усть-Баргузин,1.6 км,,,,,,,letnie_gostevie_komnati.html,0
https://101hotels.com/main/cities/utulik/baykal_dom_u_reki.html,Байкал Дом у реки,,1600.0,"Утулик, Островная 10",51.54861,104.05096,"['ДЕТСКАЯ ПЛОЩАДКА', 'АВТОСТОЯНКА']",ВЕЛИКОЛЕПНО,9.6,4.0,Утулик,600 м,,,922 м,,,,baykal_dom_u_reki.html,0
https://101hotels.com/main/cities/ust-barguzin/gostevoy_dom_na_baykale_2.html,Гостевой дом На Байкале,,2430.0,"Усть-Баргузин, 1Б переулок Кирова",53.4071,109.01694,"['БАНЯ/САУНА', 'БАССЕЙН', 'АВТОСТОЯНКА']",ВЕЛИКОЛЕПНО,10.0,3.0,Усть-Баргузин,1.5 км,,,,,,,gostevoy_dom_na_baykale_2.html,0
https://101hotels.com/main/cities/huzhir/lake_view_little_chalet.html,Lake view Little Chalet,,,"Хужир, Иркутская облас",53.19723,107.33509,['АВТОСТОЯНКА'],,,,Хужир,700 м,,,,,,,lake_view_little_chalet.html,0
https://101hotels.com/main/cities/huzhir/gostevoy_dom_na_festivalnoy_1.html,Гостевой дом На Фестивальной,,,"Хужир, 41 Фестивальная улица",53.18785,107.34172,"['БАНЯ/САУНА', 'АВТОСТОЯНКА']",,,,Хужир,600 м,,,,,,,gostevoy_dom_na_festivalnoy_1.html,0
https://101hotels.com/main/cities/huzhir/olgina_usadba.html,Ольгина Усадьба,,1000.0,"Хужир, 27 улица Лесная",53.19098,107.34738,['АВТОСТОЯНКА'],,,,Хужир,400 м,,,,,,,olgina_usadba.html,0
https://101hotels.com/main/cities/goryachinsk/ogonek.html,Гостевой дом Огонек,,,"Горячинск, с. Турка, ул. Туркинская, д. 1",52.93526,108.23682,"['БАНЯ/САУНА', 'ОХОТА/УСЛУГИ ЕГЕРЯ', 'РЫБАЛКА', 'АВТОСТОЯНКА']",,,,Горячинск,7.0 км,,136.9 км,129.8 км,,,,ogonek.html,0
https://101hotels.com/main/cities/slyudyanka/gostevoy_dom_na_baykale_uyutnaya_lisa.html,Гостевой дом На Байкале Уютная Лиса,,1440.0,"Слюдянка, 6 Заречная улица",51.66856,103.69209,"['БАНЯ/САУНА', 'БАССЕЙН', 'ДЕТСКАЯ ПЛОЩАДКА', 'АВТОСТОЯНКА']",ОЧЕНЬ ХОРОШО,8.9,3.0,Слюдянка,1.1 км,,,2.5 км,,,,gostevoy_dom_na_baykale_uyutnaya_lisa.html,0
https://101hotels.com/main/cities/severobaykalsk/baykal_apartamenti_1.html,Байкал Апартаменты,,,"Северобайкальск, улица Мира, 40б",55.64213,109.33465,['АВТОСТОЯНКА'],,,,Северобайкальск,2.0 км,,,1.2 км,,,,baykal_apartamenti_1.html,0
https://101hotels.com/main/cities/huzhir/baza_otdiha_hotey.html,Гостевой дом ХОТЭЙ,,,"Хужир, ул. Ольхонская, д. 10",53.193456,107.34365,['БАНЯ/САУНА'],,,,Хужир,100 м,27.2 км,154.7 км,151.6 км,,Завтрак,27200.0,baza_otdiha_hotey.html,0
https://101hotels.com/main/cities/leestvyanka/gostevoy_dom_russkiy_dom.html,Гостевой дом Русский Дом,,4800.0,"Листвянка, Переулок Шторкмана 3",51.84499,104.87715,"['БАНЯ/САУНА', 'АВТОСТОЯНКА']",ВЕЛИКОЛЕПНО,9.6,107.0,Листвянка,1.4 км,14 м,59.5 км,5.4 км,,,14.0,gostevoy_dom_russkiy_dom.html,5
